시퀀스,아파트코드,아파트명,주소(시도),주소(시군구),주소(읍면동),홈페이지,사용검사일,연면적,관리비부과면적,전체세대수,사용신청일,사용승인일,정보변경일,사용허가여부,일반인원,경비인원,청소인원,건설사,시행사,준공일자,건축면적,아파트평형,층수,주차대수,단지소개,아파트시설,음용수,전기안전관리자,전기안전관리방법,화재수신반유무,홈네트워크-주차관제시스템,기타메모,예산지출액,회계관리현태,화재수신반위치,엘리베이터,경비실CCTV카메라수,경비실CCTV모니터수,택비방식,경비예산 지출액,경비근무형태,경비근무시간,경비휴게시간,홈네트워그,아파트청소구역,지하주차대수,음식물처리방식,청소기타구역,청소 연간예산 지출액,청소근무시간,청소근무일자,청소일근무시간,청소세대당청소인원,청소방법,소독면적,소독구역,소독년횟수,소독 년 예산 지출액,소독약품,엘리베이터 수,엘리베이터 계약방식,엘리베이터 설치년도 운행,엘리베이터 종류,엘리베이터 운행층,엘리베이터 관리형태,엘리베이터 년 예산지출,엘리베이터 수리비,엘리베이터 월수리건수,하자보수진행상태,수선유지충당금부고방식,수선유지충당금,수선유지충당메인 항목,수선유지대체금,전체동수,전화번호,팩스번호,급수시설,주소(나머지),아파트고유번호,우편번호,좌표X,좌표Y,관리사번호,주소(도로명),주소(도로 상세주소),법정동주소,단지분류,도로명주소,전용면적별 세대현황1,전용면적별 세대현황2,85_135이하,135초과,최초등록일자,최종등록일자,주거전용면적
2012,A15072201,당산반도유보라,서울,영등포구,당산동4가,유보라팰리스.apti.co.kr,2010-02-19 00:00:00.0,68708,46680,299,2013-03-07 09:47:00.0,2016-05-18 15:01:04.0,2016-05-18 15:01:04.0,Y,14,4,5,반도건설,반도건설,,0.00,,21,612,,"휘트니센터, 골프연습실",,선임,,,,,0,,방재실,유,,,,0,교대,,,유,,,,,0,,,,,,0,,12회/년,0,,8,,,로프식,전층운행,,0,0,,,,0,,0,3,02-2071-8113,02-2071-8118,,50-1,106-80-04489,140752,126.9733121,37.5364563,907-00-06076-1,한강대로,205,서울특별시 용산구 한강로1가 50-1 용산파크자이,주상복합,서울특별시 용산구 한강대로 205,0,0,246,,,2019-05-19 23:22:02.0,40423.73
1255,A12119007,창전삼성,서울,마포구,창전동,cafe.daum.net/wawoojung(창전래미안아파트),1998-06-24 00:00:00.0,91069,71419,640,2013-03-07 09:46:30.0,2017-03-27 15:55:44.0,2017-03-27 15:55:44.0,Y,7,18,6,삼성물산(주)건설부분,창전구역주택개량재개발조합,,8249.18,,20|13,645,"



",헬스장및 골프연습장,1500,필수,자체,관리,무,,0,,,,,,,0,,,,,,,,,0,,,,,,0,,,0,,31,,,,,,0,0,,,,0,,0,10,023739466,023739468,,백련산 힐스테이트 3차,,03477,126.9240993,37.5879981,,백련산로,36,서울특별시 은평구 응암동 761 백련산힐스테이트3차,아파트,서울특별시 은평구 백련산로 36,224,389,135,,,2019-05-20 02:45:49.0,61715.17
1165,A13611201,길음래미안2차,서울,성북구,길음동,,2006-06-23 00:00:00.0,90157,58691,560,2013-03-07 09:46:30.0,2016-12-22 16:27:47.0,2016-12-22 16:27:47.0,Y,5,8,6,삼성물산,삼성물산,,4247.38,,20층,688,,헬스장.탁구장,,,,,,,0,직영,,,,,,0,2교대,24시간,5.5시간,,,,위탁,,0,6시간,,,,,114587,분무식,4회,0,,21,,,,,,0,0,,,,0,,0,12,02-963-0480,02-963-0481,,1212,204-82-61527,130061,127.0391833,37.5888362,91001265891,고산자로,534,서울특별시 동대문구 제기동 1212 제기한신,아파트,서울특별시 동대문구 고산자로 534,411,395,264,,,2019-05-20 00:14:43.0,88404.08
382,A13706001,방배아크로리버,서울,서초구,방배동,,2004-11-24 00:00:00.0,52754,52754,222,2013-03-07 09:46:28.0,2017-09-08 14:10:36.0,2017-09-08 14:10:36.0,Y,8,7,6,대림산업(주),CIT산업개발(주),,2226.47,,25,503,,헬스장.골프연습장.독서실.연회실,2000,필수,선임자관리,관리,유,,333627860,전산,관리소,유,각초소및 지하주차장DVR ROOM,"지상,놀이터,지하주차장,승강기내부,각동현관입구,외곽부대시설",유,165600000,격일제,24시간,"주간: ~ ( 2시간), 야간: ~ (4시간)",유, 층 라인,,4개소 회/주,"외곽청소, 대청소, 지하주차장",112800000,"평일: 9~16 (7시간), 토:9 ~12(3시간)",,1시간,13102.4,복도 물걸레(매회/주),523572,"연막, 분무, 독먹이식 : 세대, 계단, 지하, 주차장","세대:12/년,수목:12/년",15467040,뉴포스맥스겔,"E/L 30대, E/S 2대",전체(FM),(2004)년도 설치 (5)연간 운행,로프식,전층운행,"전기제어반( 년), 브레이커( 년), 완충기( 년), 균형추( 년), 안전장치( 년), ",29640000,4610320,1건/월,,수선유지충당금(년간분할부과),79168924,"건축, 설비, 전기, 소방, 통신,조경",0,16,02-6229-8989,02-6229-8990,부스터방식,636,2098004736,136062,127.0177941,37.5978757,90700296931,북악산로,844,서울특별시 성북구 돈암동 636 브라운스톤 돈암,아파트,서울특별시 성북구 북악산로 844,514,482,78,,,2019-05-20 00:53:26.0,80428.48
1569,A15205513,신도림태영타운,서울,구로구,구로동,,2000-12-22 00:00:00.0,198580,144801,1252,2013-03-07 09:46:43.0,2016-05-02 15:51:20.0,2016-05-02 15:51:20.0,Y,12,13,12,(주)태영,(주)태영,2000-12-01 00:00:00.0,8981.41,,16|27,2028,"<p><font size=""2"" face=""바탕, 바탕체""></font></p><p><font size=""2"" face=""바탕, 바탕체"">행복이 가득한 집 <strong><font color=""#ff00ff"" size=""3""><em>신도림 태영타운</em></font></strong> <strong>에 오신것을 환영합니다.</strong></font></p><p><font size=""2"" face=""바탕, 바탕체""></font></p><p><font size=""2"" face=""바탕, 바탕체""></font></p><p><font size=""2"" face=""바탕, 바탕체""></font></p><p><font size=""2"" face=""바탕, 바탕체"">서울 구로구 구로동에 위치한 13개동 총 1천2백52가구로 구성된,</font></p><p><font size=""2"" face=""바탕, 바탕체"">주민을 위한 <strong>신도림 태영타운입니다. </strong></font></p><p><font color=""#ff00ff""></font></p>","헬스장,테니스장",1900,선임,,있음,있음,,0,전산,관리소,유,160대,"놀이터, 주차장, 엘레베이터, 관리소",무,0,격일제,"평일: 07~ 07( 24시간), ","주간: 06~07, 12-13( 3시간), 야간: 00~05(5시간)",유, 층 라인,"수량: 3개, 면적:       ㎡",9개소 3회/1주,"외곽청소, 대청소, 논슬립, 주차장",0,"평일: 09~ 16( 시간), 토: 09~12시(시간), 휴일: ~ (시간)",,"주간: 12~13,중간중간( 1시간30분), 야간: ~ (시간)",(128세대/명),복도 물걸레( 회/주),0,"분무, 독먹이식 : 세대, 계단, 지하, 주차장","세대: 4회/년, 수목:요청에 따라",0,"로엔텍,맥스포스걸외 기타",24,,(1997)년도 설치 (24대)연간 운행,로프식,"1,2층제외 전층","쉬브/로브( 년), 카( 년), 권상기( 년), 전기제어반( 년), 브레이커( 년), 완충기( 년), 균형추( 년), 안전장치( 년), 전면교체( 년)",0,0,건/월,(10 년차 종결),수선유지비(매월부과),0,"건축, 설비, 전기",0,9,02-2207-0365,02-434-0365,고가수조,중화한신아파트 관리사무소,204-82-61847,02095,127.0825323,37.5973448,90700311751,동일로,752,서울특별시 중랑구 중화동 450 중화한신아파트,아파트,서울특별시 중랑구 동일로 752,892,652,0,,,2019-05-20 00:41:17.0,105896.94
572,A15608002,동작금강KCC,서울,동작구,동작동,,2003-10-30 00:00:00.0,38394,29913,276,2013-03-07 09:46:16.0,2016-05-23 11:30:56.0,2016-05-23 11:30:56.0,Y,4,6,3,주)KCC건설,태화연립조합,2003-10-01 00:00:00.0,2252.03,84.32  106.47   137.47|106.47|137.47,23|,329,,"헬스장,탁구장,노인정,어린이놀이터",800,필수,상주선임,관리,무,,402087274,,복도,,모이터14대카메라33대,지하,,495330000,격일제,24시간,5시간,,,,,,161760000,,,,,각동,177942,,"정기소독3,6,9,12나머지추가소독",15660000,,35대,1년,,,,,24360000,0,,,,83594684,,0,12,02-595-7010,02-599-9603,"지하수조4,650톤고가수조312톤",105,108-82-60967,156815,126.9764363,37.4886826,90700069591,동작대로29길,119,서울특별시 동작구 사당동 105 사당극동,아파트,서울특별시 동작구 동작대로29길 119,476,360,714,,,2019-05-20 05:58:08.0,137745.46
1793,A15076301,여의도대우트럼프월드,서울,영등포구,여의도동,,2002-10-30 00:00:00.0,78667,56725,282,2013-03-07 09:46:38.0,2013-06-23 12:08:40.0,2013-06-23 12:08:40.0,Y,12,11,9,대우건설,대우건설,2002-09-01 00:00:00.0,3158.04,,40|지하5,656,,"헬스장,수영장,샤워장,사우나실,골프연습장,독서실,연회장",4350,필수상주,상주,관리,무,,259193824,주택전산시스템,각동 경비초소,가능,,"E/L,지상 및 지하주차장",,366960000,격일,,,,각동 및 공용구역,,유상처리,"지상 및 지하주차장, 녹지",100363560,09:00~16:00,,12:00~13:00,,용역,92157,분무/도포,12회,9600000,,23,,17년,동양E/L,3~15층,로프,21252000,3000000,15,없음,,21245630,기계/전기 설비,5756720,12,02-2668-7755,02-6735-7755,저수조/고가수조,1475,109-82-63287,157807,126.8556837,37.5652229,95-039721-1-500-1204,허준로,139,서울특별시 강서구 가양동 1475 가양3단지(강변),아파트,서울특별시 강서구 허준로 139,1556,0,0,,,2019-05-20 04:17:13.0,63616.44
1739,A13704104,반포자이,서울,서초구,반포1동,www.hanpoxi.kr,2009-03-13 00:00:00.0,814368,520722,3410,2013-03-07 09:46:18.0,2013-06-18 13:00:30.0,2013-06-18 13:00:30.0,Y,27,59,53,GS건설,반포주공3단지재건축주택정비사업조합,2009-03-01 00:00:00.0,25737.00,,23|29,6075,"<p align=""left""><font face=""굴림""><b>호텔수준의 자이언센터와 </b></font></p><br /><p align=""left""><font face=""굴림""><b>한강의?맑은물이 단지내로 <br />들어와 ??실개천을 거쳐 다시 한강으로 흐르는 도심속의 오아시스. </b></font></p><br /><p align=""left""><font face=""굴림""><b><br />다람쥐가 뛰어 노는 ?2.4km 숲속같은 산책로. ?</b></font></p><br /><p align=""left""><font face=""굴림""><b>워터 테마파크의 미니카약장이 있는 </b></font></p><br /><p align=""left""><font face=""굴림""><b>반포자이 홈페이지에 오신것을 환영 합니다.</b></font></p>","헬스장,사우나,골프연습장,연회실,클럽하우스외",19900,필수,자체,관리,유,,0,,,,,,,0,,,,,,,,,0,,,,,,0,,,0,,20,,,,,,0,0,,,,0,,0,12,02-2666-1910,02-2666-3911,,방화2-1단지아파트,109-80-01496,07519,126.8195884,37.5746696,109-80-01496-0,방화대로48길,40,서울특별시 강서구 방화동 839 방화2단지,아파트,서울특별시 강서구 방화대로48길 40,1563,0,0,,,2019-05-20 04:31:35.0,41408.66
688,A13681701,석관중앙하이츠,서울,성북구,석관동,,1994-06-24 00:00:00.0,33227,33226,315,2013-03-07 09:46:59.0,2016-11-16 08:47:21.0,2016-11-16 08:47:21.0,Y,4,4,3,중앙건설,중앙건설,1994-06-01 00:00:00.0,2391.00,91.90|120.33,15|,241,,"헬스장,노인정,어린이놀이터",750(245),선임,대행위탁,,,,106511922,전산,"정문경비실, 경비초소",유,2대,"놀이터, 주차장, 엘레베이터, 각동출입구, 지하주차장, 외각",,0,격일제,평일:06시 ~익일06시 ,"주간:3시간, 야간:4시간, ",유, 층 라인,,,,0,"평일: 오전 9시 ~ 오후 4시( 6시간), 토: 9시~ 12(3시간), 휴일: ~ (시간)",,"주간:12 ~01 ( 1시간), ",,복도 물걸레( 회/주),26083,"연막, 분무,  세대, ","세대: 4회/년, ",0,,6대,전체(FM),( 1999)년도 설치 ( )연간 운행,로프식,,,0,415800,15건/월,"( 1,2,3,4,5,10 년차 종결)",수선유지비(매월부과),0, 설비,0,2,02-2637-3637,02-6265-3637,고가수조,29,107-82-60886,150805,126.9023584,37.5280856,907-00-06971-1,영신로57길,5,서울특별시 영등포구 당산동4가 29 한강아파트,아파트,서울특별시 영등포구 영신로57길 5,111,154,0,,,2019-05-20 05:22:27.0,19680.32
358,A13009202,휘경동일하이빌,서울,동대문구,휘경동,dih365.apti.co.kr/default.asp,2005-10-05 00:00:00.0,33352,24521,216,2013-03-07 09:46:12.0,2015-12-11 13:22:26.0,2015-12-11 13:22:26.0,Y,4,3,2,(주)동일토건,휘경49재건축조합,2005-10-01 00:00:00.0,2294.58,79.821|107.194|134.043,15|,290,,"헬스장, 어린이놀이터, 노인정",950,,위탁,관리,,,1839419000,자치,동지하,있음,16개,"승강기내, 현관입구",없음,2653538000,격일,오전09시부터~ 익일오전09시까지,없음,없음,,,,,395000000,,,,,,0,,,29000000,,88대,,,,,,97533000,0,,,,300371000,,0,41,02-514-2301,02-514-2307,,369-1,211-82-60069,135898,127.0280917,37.5331972,95-023957-4-680-1200,압구정로29길,71,서울특별시 강남구 압구정동 369-1 구현대2,아파트,서울특별시 강남구 압구정로29길 71,0,656,387,,,2019-05-20 07:13:40.0,456872.42
2102,A10072501,쌍용남산플래티넘,서울,중구,회현동2가,,2010-08-05 00:00:00.0,74075,74075,236,2013-03-07 09:46:54.0,2014-12-17 16:31:03.0,2014-12-17 16:31:03.0,Y,12,11,10,쌍용건설(주),(주)해창,2010-07-01 00:00:00.0,2957.63,266.55|298.71|312.44|332.29|427.60|472.04,33|B7,605,<p>대한민국 NO1.</p>,"헬스장, 사우나, 실내골프연습장, 와인바, 게스트룸, 실버룸, 코인세탁실",4000(1150),선임,자체선임,"화재수신반(관리), 승강기비상호출(관리), CCTV야간당직자(관리)",유,,780000000,전산장부,"각동 경비실, 관리실, 기전실",있슴.,,,,933240000,격일근무,격일제 2교대,,가능,각동,,위탁,"외곽, 관리실",257964000,,,,,"복도 마포걸레,기계쳥소 년1회",297343,"3개월에 1회 정기소독, 원하실때 수시 추가 소독","3개월에 1회 정기소독, 원하실때 수시 추가 소독",24609120,,67,,,,,,0,0,,,매월 부과,0,,0,30,02-955-0125,02-956-0115,,신동아1단지아파트,210-80-03886,01382,127.0286105,37.6606886,90901232721,방학로,193,서울특별시 도봉구 방학동 271-1 방학신동아1단지,아파트,서울특별시 도봉구 방학로 193,1153,1668,348,,,2019-05-20 01:38:11.0,217882.68
1886,A13770608,서초현대ESA2차,서울,서초구,서초동,,2003-01-29 00:00:00.0,43252,29918,174,2013-03-07 09:47:02.0,2015-11-16 10:47:37.0,2015-11-16 10:47:37.0,Y,7,6,4,현대건설,SR건설,,0.00,,25층,357,,"헬스장, 비즈니스룸",2510,선임,선임관리,당직관리,자체관리,,0,,,,,,,280000000,상주,1인 격일,,,,,강동용역,,434640000,,,,,,0,,,0,,62대,,,,,,0,0,,,,0,,0,40,02-3427-0036,02-3427-0038,가압펌프식,414-2,2128008233,05236,127.1430468,37.556623,90801000791,고덕로,131,서울특별시 강동구 암사동 414-2 강동롯데캐슬퍼스트아파트,아파트,서울특별시 강동구 고덕로 131,654,1068,1444,,,2019-05-20 08:10:35.0,300048.27
1477,A13204205,창동태영데시앙,서울,도봉구,창동,창동태영데시앙.apti.co.kr,2003-07-14 00:00:00.0,137358,100992,958,2013-03-07 09:46:33.0,2015-01-09 15:02:36.0,2015-01-09 15:02:36.0,Y,8,7,11,태영,(주)아시아디벨로퍼,2003-07-01 00:00:00.0,7517.96,105.42,1|21,1103,"



","헬스장, 독서실",3500,필수,상주,관리,유,,635061230,전산,각동 경비실,유,,,,722703430,격일제 근무,09:00~09:00,4시간 20분,,"각동 , 외곽",,,,198953040,09:00~16:00,,11:30~13:30,,물걸레,0,"분무, 약품",연 4회 ,22970040,,42대,용역,,,15,,29757670,0,,,,64422200,,0,21,02-931-8796,02-932-4030,고가수조,685,2108261560,139826,127.0644118,37.6627915,90700039941,한글비석로,480,서울특별시 노원구 상계동 639 상계보람,아파트,서울특별시 노원구 한글비석로 480,1335,1980,0,,,2019-05-20 02:11:54.0,212709.75
